id,found,center_x,center_y,radius,rms,center_error_px,method,block,time_ms
374,1,464.536,760.84,138.237,1.18967,5.05691,algebraic,SQUARE,28.3253
375,1,1482.09,601.6,138.625,0.32195,4.68855,algebraic,SQUARE,22.1457
376,1,1604.94,631.708,134.488,1.91003,9.70842,algebraic,VERTICAL_WIRE,35.1973
377,1,3592.09,730.6,138.625,0.32195,4.68857,algebraic,CIRCLE,21.8551
378,1,2024.09,1742.6,138.625,0.32195,4.68849,algebraic,NONE,31.9113
379,1,1988.09,584.6,138.625,0.32195,4.68855,algebraic,NONE,45.6022
380,1,2710.9,1882.64,138.506,0.44331,4.76612,algebraic,CIRCLE,33.508
381,0,-1,-1,-1,-1,-1,none,CIRCLE,31.18
382,1,1786.62,413.644,136.363,1.34346,4.97294,algebraic,VERTICAL_WIRE,22.7525
383,1,3577.09,329.6,138.625,0.32195,4.68857,algebraic,SQUARE,23.2796
384,1,668.623,571.259,135.75,0.885587,7.28612,algebraic,VERTICAL_WIRE,27.2038
385,0,-1,-1,-1,-1,-1,none,CIRCLE,40.0891
386,1,3520.09,1214.6,138.625,0.32195,4.68851,algebraic,NONE,28.3873
387,1,2933.09,1567.6,138.625,0.32195,4.68851,algebraic,ELLIPSE,31.7866
388,1,2564.56,1902.87,138.292,0.880938,4.8902,algebraic,ELLIPSE,32.2223
389,1,848.8,911.714,135.879,0.797539,7.71682,algebraic,VERTICAL_WIRE,38.2978
390,1,1528.63,1061.09,135.874,1.23536,8.20604,algebraic,VERTICAL_WIRE,38.3738
391,1,592.337,1556.84,136.233,1.15597,5.37571,algebraic,ELLIPSE,37.2482
392,1,3397.6,1354.69,136.837,0.722441,6.70185,algebraic,VERTICAL_WIRE,39.1506
393,1,1087.75,1972.24,140.116,0.761699,2.56755,ransac,VERTICAL_WIRE,37.0669
394,1,961.091,1942.6,138.625,0.32195,4.6885,algebraic,NONE,36.2337
395,1,3580.24,476.573,137.915,0.462048,4.89868,algebraic,CIRCLE,24.1921
396,1,3242.88,1956.49,137.647,0.568775,4.96931,algebraic,CIRCLE,30.3123
397,1,2555.09,1241.6,138.625,0.32195,4.68851,algebraic,NONE,33.8427
398,1,2311.89,1731.61,138.52,0.514045,4.74356,algebraic,ELLIPSE,29.303
399,0,-1,-1,-1,-1,-1,none,ELLIPSE,38.4013
400,1,1343.72,1522.7,138.287,0.428612,4.87121,algebraic,CIRCLE,22.9485
401,1,1617.52,1464.73,138.393,0.909099,4.75347,algebraic,SQUARE,25.4567
402,1,325.097,1865.85,137.852,0.849238,5.20759,algebraic,CIRCLE,29.3919
403,0,-1,-1,-1,-1,-1,none,CIRCLE,37.5324
404,1,209.091,1143.6,138.625,0.32195,4.6885,algebraic,CIRCLE,25.2652
405,1,987.091,1476.6,138.625,0.32195,4.6885,algebraic,ELLIPSE,24.6264
406,1,3266.09,1329.6,138.625,0.32195,4.68851,algebraic,NONE,26.3871
407,1,2965.28,1685.58,137.178,0.8936,3.58942,algebraic,VERTICAL_WIRE,24.2222
408,1,3453.09,1538.6,138.625,0.32195,4.68851,algebraic,SQUARE,33.3012
409,1,527.091,1596.6,138.625,0.32195,4.6885,algebraic,ELLIPSE,35.5068
410,0,-1,-1,-1,-1,-1,none,CIRCLE,38.5793
411,1,299.499,1245.03,136.663,0.911684,7.047,algebraic,ELLIPSE,40.4382
412,1,2823.54,1877.48,134.803,1.00245,5.10228,algebraic,ELLIPSE,31.5486
413,1,850.167,1817.45,136.862,0.740321,4.59928,algebraic,ELLIPSE,41.28
414,1,2318.09,1101.6,138.625,0.32195,4.68851,algebraic,NONE,30.722
415,1,1140.09,1314.6,138.625,0.32195,4.68849,algebraic,SQUARE,24.695
416,1,1209.09,1884.6,138.625,0.32195,4.68849,algebraic,ELLIPSE,23.2651
417,1,1903.26,768.368,133.188,1.31378,9.63552,algebraic,VERTICAL_WIRE,39.3952
418,1,2277.41,938.683,140.933,0.54695,3.0299,ransac,CIRCLE,30.8333
419,1,3153.58,387.462,135.974,1.69026,6.27736,algebraic,VERTICAL_WIRE,36.124
420,1,3220.09,1104.6,138.625,0.32195,4.68851,algebraic,NONE,36.3773
421,1,1951.53,750.93,136.624,0.996301,5.16262,algebraic,VERTICAL_WIRE,38.9065
422,1,3547.63,1412.82,136.728,0.844725,6.82918,algebraic,VERTICAL_WIRE,38.0666
423,1,643.091,1211.6,138.625,0.32195,4.6885,algebraic,SQUARE,31.7671
424,1,194.484,1511.13,135.817,1.40457,5.69944,algebraic,ELLIPSE,30.8765
